of_id,vendor,sku,seat_type,contract_group_id,contracted_seats,unit_price,contract_start,contract_expiry,notice_deadline,auto_renewal,true_down_rights,measurement_method,contract_status,predecessor_of_id,contract_event_type,seat_delta,effective_total_seats
V1-OF-008,Atlassify,Project Suite,Contributor,ATL-PS-BASE,240,10.77,01-01-2026,01-01-2027,03-10-2026,FALSE,TRUE,peak,active,V1-OF-007,renewal,0,375
V1-OF-001,Atlassify,Project Suite,Collaborator,ATL-PS-BASE,320,2.25,01-01-2020,01-01-2021,02-11-2020,FALSE,FALSE,peak,superseded,,new,320,1240
V1-OF-002,Atlassify,Project Suite,Collaborator,ATL-PS-BASE,350,2.32,01-01-2021,01-01-2022,02-12-2021,FALSE,FALSE,peak,superseded,V1-OF-001,renewal,0,1240
V1-OF-003,Atlassify,Project Suite,Collaborator,ATL-PS-BASE,360,2.45,01-01-2022,01-07-2022,02-04-2022,TRUE,TRUE,peak,superseded,V1-OF-002,renewal,0,1240
V1-OF-004,Atlassify,Project Suite,Collaborator,ATL-PS-BASE,400,2.45,01-07-2022,01-01-2023,03-10-2022,TRUE,TRUE,peak,superseded,V1-OF-003,renewal,0,1240
V1-OF-005,Atlassify,Project Suite,Collaborator,ATL-PS-BASE,530,2.45,01-01-2023,01-01-2024,02-11-2023,TRUE,FALSE,peak,superseded,V1-OF-004,amendment,130,1240
V1-OF-006,Atlassify,Project Suite,Collaborator,ATL-PS-BASE,570,2.45,01-01-2024,01-01-2025,02-12-2024,FALSE,FALSE,peak,superseded,V1-OF-005,renewal,0,1240
V1-OF-007,Atlassify,Project Suite,Collaborator,ATL-PS-BASE,710,2.45,01-01-2025,01-01-2026,03-10-2025,TRUE,FALSE,peak,superseded,V1-OF-006,upsell,140,1240
V1-OF-008,Atlassify,Project Suite,Collaborator,ATL-PS-BASE,790,2.5,01-01-2026,01-01-2027,03-10-2026,TRUE,FALSE,peak,active,V1-OF-007,renewal,0,1240
V1-OF-010,Atlassify,Project Suite,Full,ATL-PS-FULL-EXP1,45,24,01-07-2021,01-07-2022,02-04-2022,TRUE,FALSE,peak,superseded,,new,45,155
V1-OF-011,Atlassify,Project Suite,Full,ATL-PS-FULL-EXP1,45,25.2,01-07-2022,01-01-2023,02-12-2022,FALSE,FALSE,peak,superseded,V1-OF-010,renewal,0,155
V1-OF-012,Atlassify,Project Suite,Full,ATL-PS-FULL-EXP1,50,25.2,01-01-2023,01-07-2023,02-04-2023,FALSE,TRUE,peak,superseded,V1-OF-011,renewal,0,155
V1-OF-013,Atlassify,Project Suite,Full,ATL-PS-FULL-EXP1,45,25.95,01-07-2023,01-07-2024,02-04-2024,FALSE,TRUE,peak,superseded,V1-OF-012,renewal,0,155
V1-OF-014,Atlassify,Project Suite,Full,ATL-PS-FULL-EXP1,55,25.95,01-07-2024,01-10-2024,02-08-2024,TRUE,FALSE,peak,superseded,V1-OF-013,upsell,10,155
V1-OF-015,Atlassify,Project Suite,Full,ATL-PS-FULL-EXP1,55,26.29,01-10-2024,01-01-2025,03-10-2024,FALSE,FALSE,peak,superseded,V1-OF-014,renewal,0,155
V1-OF-016,Atlassify,Project Suite,Full,ATL-PS-FULL-EXP1,55,26.29,01-01-2025,01-07-2025,02-04-2025,TRUE,FALSE,peak,superseded,V1-OF-015,renewal,0,155
V1-OF-017,Atlassify,Project Suite,Full,ATL-PS-FULL-EXP1,55,26.29,01-07-2025,01-07-2026,02-05-2026,TRUE,TRUE,peak,superseded,V1-OF-016,renewal,0,155
V1-OF-018,Atlassify,Project Suite,Full,ATL-PS-FULL-EXP1,70,26.29,01-07-2026,01-01-2027,03-10-2026,FALSE,FALSE,peak,active,V1-OF-017,amendment,15,155
V1-OF-022,Atlassify,Project Suite,Contributor,ATL-PS-CONT-EXP1,110,9.9,01-07-2021,01-01-2022,03-10-2021,FALSE,FALSE,peak,superseded,,new,110,375
V1-OF-023,Atlassify,Project Suite,Contributor,ATL-PS-CONT-EXP1,110,10.96,01-01-2022,01-04-2022,01-01-2022,FALSE,TRUE,peak,superseded,V1-OF-022,renewal,0,375
V1-OF-024,Atlassify,Project Suite,Contributor,ATL-PS-CONT-EXP1,110,10.96,01-04-2022,01-10-2022,02-08-2022,FALSE,FALSE,peak,superseded,V1-OF-023,renewal,0,375
V1-OF-025,Atlassify,Project Suite,Contributor,ATL-PS-CONT-EXP1,115,10.96,01-10-2022,01-10-2023,02-08-2023,TRUE,FALSE,peak,superseded,V1-OF-024,renewal,0,375
V1-OF-026,Atlassify,Project Suite,Contributor,ATL-PS-CONT-EXP1,120,11.02,01-10-2023,01-10-2024,01-09-2024,TRUE,FALSE,peak,superseded,V1-OF-025,renewal,0,375
V1-OF-027,Atlassify,Project Suite,Contributor,ATL-PS-CONT-EXP1,125,11.02,01-10-2024,01-04-2025,01-01-2025,FALSE,FALSE,peak,superseded,V1-OF-026,renewal,0,375
V1-OF-028,Atlassify,Project Suite,Contributor,ATL-PS-CONT-EXP1,125,11.02,01-04-2025,01-04-2026,31-01-2026,TRUE,TRUE,peak,superseded,V1-OF-027,renewal,0,375
V1-OF-029,Atlassify,Project Suite,Contributor,ATL-PS-CONT-EXP1,135,11.02,01-04-2026,01-04-2027,01-01-2027,FALSE,FALSE,peak,active,V1-OF-028,renewal,0,375
V1-OF-032,Atlassify,Project Suite,Collaborator,ATL-PS-COLL-EXP1,290,2.25,01-07-2021,01-01-2022,02-12-2021,TRUE,FALSE,peak,superseded,,new,290,1240
V1-OF-033,Atlassify,Project Suite,Collaborator,ATL-PS-COLL-EXP1,290,2.48,01-01-2022,01-07-2022,02-05-2022,TRUE,FALSE,peak,superseded,V1-OF-032,renewal,0,1240
V1-OF-034,Atlassify,Project Suite,Collaborator,ATL-PS-COLL-EXP1,300,2.51,01-07-2022,01-07-2023,02-05-2023,FALSE,FALSE,peak,superseded,V1-OF-033,renewal,0,1240
V1-OF-035,Atlassify,Project Suite,Collaborator,ATL-PS-COLL-EXP1,390,2.51,01-07-2023,01-01-2024,02-11-2023,FALSE,FALSE,peak,superseded,V1-OF-034,upsell,90,1240
V1-OF-036,Atlassify,Project Suite,Collaborator,ATL-PS-COLL-EXP1,430,2.51,01-01-2024,01-07-2024,01-06-2024,TRUE,FALSE,peak,superseded,V1-OF-035,renewal,0,1240
V1-OF-037,Atlassify,Project Suite,Collaborator,ATL-PS-COLL-EXP1,470,2.51,01-07-2024,01-07-2025,02-04-2025,FALSE,FALSE,peak,superseded,V1-OF-036,renewal,0,1240
V1-OF-038,Atlassify,Project Suite,Collaborator,ATL-PS-COLL-EXP1,520,2.51,01-07-2025,01-10-2025,03-07-2025,FALSE,TRUE,peak,superseded,V1-OF-037,renewal,0,1240
V1-OF-039,Atlassify,Project Suite,Collaborator,ATL-PS-COLL-EXP1,420,2.51,01-10-2025,01-10-2026,02-08-2026,FALSE,FALSE,peak,superseded,V1-OF-038,renewal,0,1240
V1-OF-040,Atlassify,Project Suite,Collaborator,ATL-PS-COLL-EXP1,450,2.51,01-10-2026,01-04-2027,02-03-2027,FALSE,FALSE,peak,active,V1-OF-039,renewal,0,1240
V1-OF-043,Atlassify,Wiki Lite,Full,ATL-WL-BASE,60,18,01-01-2020,01-01-2021,02-12-2020,FALSE,FALSE,average,superseded,,new,60,130
V1-OF-044,Atlassify,Wiki Lite,Full,ATL-WL-BASE,65,19.15,01-01-2021,01-01-2022,03-10-2021,TRUE,FALSE,average,superseded,V1-OF-043,renewal,0,130
V1-OF-045,Atlassify,Wiki Lite,Full,ATL-WL-BASE,65,19.89,01-01-2022,01-01-2023,03-10-2022,TRUE,TRUE,average,superseded,V1-OF-044,renewal,0,130
V1-OF-046,Atlassify,Wiki Lite,Full,ATL-WL-BASE,80,19.89,01-01-2023,01-07-2023,01-06-2023,TRUE,FALSE,average,superseded,V1-OF-045,upsell,15,130
V1-OF-047,Atlassify,Wiki Lite,Full,ATL-WL-BASE,85,19.89,01-07-2023,01-07-2024,01-06-2024,FALSE,FALSE,average,superseded,V1-OF-046,renewal,0,130
V1-OF-048,Atlassify,Wiki Lite,Full,ATL-WL-BASE,85,19.89,01-07-2024,01-10-2024,02-08-2024,TRUE,FALSE,average,superseded,V1-OF-047,renewal,0,130
V1-OF-049,Atlassify,Wiki Lite,Full,ATL-WL-BASE,105,19.89,01-10-2024,01-10-2025,03-07-2025,TRUE,FALSE,average,superseded,V1-OF-048,amendment,20,130
V1-OF-050,Atlassify,Wiki Lite,Full,ATL-WL-BASE,105,19.89,01-10-2025,01-04-2026,01-01-2026,FALSE,FALSE,average,superseded,V1-OF-049,renewal,0,130
V1-OF-051,Atlassify,Wiki Lite,Full,ATL-WL-BASE,125,19.98,01-04-2026,01-07-2026,02-04-2026,FALSE,FALSE,average,superseded,V1-OF-050,upsell,20,130
V1-OF-052,Atlassify,Wiki Lite,Full,ATL-WL-BASE,130,19.98,01-07-2026,01-07-2027,02-05-2027,FALSE,TRUE,average,active,V1-OF-051,renewal,0,130
V1-OF-043,Atlassify,Wiki Lite,Contributor,ATL-WL-BASE,130,8,01-01-2020,01-01-2021,02-12-2020,TRUE,FALSE,average,superseded,,new,130,230
V1-OF-044,Atlassify,Wiki Lite,Contributor,ATL-WL-BASE,135,8.28,01-01-2021,01-01-2022,03-10-2021,FALSE,TRUE,average,superseded,V1-OF-043,renewal,0,230
V1-OF-045,Atlassify,Wiki Lite,Contributor,ATL-WL-BASE,145,8.95,01-01-2022,01-01-2023,03-10-2022,FALSE,FALSE,average,superseded,V1-OF-044,renewal,0,230
V1-OF-046,Atlassify,Wiki Lite,Contributor,ATL-WL-BASE,180,8.95,01-01-2023,01-07-2023,01-06-2023,FALSE,FALSE,average,superseded,V1-OF-045,upsell,35,230
V1-OF-047,Atlassify,Wiki Lite,Contributor,ATL-WL-BASE,190,8.95,01-07-2023,01-07-2024,01-06-2024,TRUE,FALSE,average,superseded,V1-OF-046,renewal,0,230
V1-OF-048,Atlassify,Wiki Lite,Contributor,ATL-WL-BASE,195,8.95,01-07-2024,01-10-2024,02-08-2024,FALSE,FALSE,average,superseded,V1-OF-047,renewal,0,230
V1-OF-049,Atlassify,Wiki Lite,Contributor,ATL-WL-BASE,200,8.95,01-10-2024,01-10-2025,03-07-2025,TRUE,TRUE,average,superseded,V1-OF-048,renewal,0,230
V1-OF-050,Atlassify,Wiki Lite,Contributor,ATL-WL-BASE,205,8.95,01-10-2025,01-04-2026,01-01-2026,FALSE,FALSE,average,superseded,V1-OF-049,renewal,0,230
V1-OF-051,Atlassify,Wiki Lite,Contributor,ATL-WL-BASE,215,8.95,01-04-2026,01-07-2026,02-04-2026,TRUE,TRUE,average,superseded,V1-OF-050,renewal,0,230
V1-OF-052,Atlassify,Wiki Lite,Contributor,ATL-WL-BASE,230,8.95,01-07-2026,01-07-2027,02-05-2027,FALSE,FALSE,average,active,V1-OF-051,renewal,0,230
V1-OF-043,Atlassify,Wiki Lite,Collaborator,ATL-WL-BASE,320,1.7,01-01-2020,01-01-2021,02-12-2020,TRUE,FALSE,average,superseded,,new,320,420
V1-OF-044,Atlassify,Wiki Lite,Collaborator,ATL-WL-BASE,320,1.8,01-01-2021,01-01-2022,03-10-2021,TRUE,FALSE,average,superseded,V1-OF-043,renewal,0,420
V1-OF-045,Atlassify,Wiki Lite,Collaborator,ATL-WL-BASE,340,1.8,01-01-2022,01-01-2023,03-10-2022,TRUE,FALSE,average,superseded,V1-OF-044,renewal,0,420
V1-OF-046,Atlassify,Wiki Lite,Collaborator,ATL-WL-BASE,360,1.8,01-01-2023,01-07-2023,01-06-2023,TRUE,FALSE,average,superseded,V1-OF-045,renewal,0,420
V1-OF-047,Atlassify,Wiki Lite,Collaborator,ATL-WL-BASE,360,1.81,01-07-2023,01-07-2024,01-06-2024,TRUE,FALSE,average,superseded,V1-OF-046,renewal,0,420
V1-OF-048,Atlassify,Wiki Lite,Collaborator,ATL-WL-BASE,450,1.81,01-07-2024,01-10-2024,02-08-2024,FALSE,FALSE,average,superseded,V1-OF-047,upsell,90,420
V1-OF-049,Atlassify,Wiki Lite,Collaborator,ATL-WL-BASE,450,1.81,01-10-2024,01-10-2025,03-07-2025,FALSE,TRUE,average,superseded,V1-OF-048,renewal,0,420
V1-OF-050,Atlassify,Wiki Lite,Collaborator,ATL-WL-BASE,490,1.81,01-10-2025,01-04-2026,01-01-2026,FALSE,FALSE,average,superseded,V1-OF-049,renewal,0,420
V1-OF-051,Atlassify,Wiki Lite,Collaborator,ATL-WL-BASE,490,1.81,01-04-2026,01-07-2026,02-04-2026,FALSE,TRUE,average,superseded,V1-OF-050,renewal,0,420
V1-OF-052,Atlassify,Wiki Lite,Collaborator,ATL-WL-BASE,420,1.81,01-07-2026,01-07-2027,02-05-2027,FALSE,TRUE,average,active,V1-OF-051,renewal,0,420
V1-OF-054,Atlassify,Reporting Add-on,Full,ATL-RA-BASE,55,14,01-01-2020,01-01-2021,02-12-2020,TRUE,FALSE,snapshot,superseded,,new,55,90
V1-OF-055,Atlassify,Reporting Add-on,Full,ATL-RA-BASE,55,14.88,01-01-2021,01-01-2022,03-10-2021,TRUE,FALSE,snapshot,superseded,V1-OF-054,renewal,0,90
V1-OF-056,Atlassify,Reporting Add-on,Full,ATL-RA-BASE,55,15.08,01-01-2022,01-01-2023,03-10-2022,FALSE,FALSE,snapshot,superseded,V1-OF-055,renewal,0,90
V1-OF-057,Atlassify,Reporting Add-on,Full,ATL-RA-BASE,70,15.08,01-01-2023,01-07-2023,02-04-2023,TRUE,FALSE,snapshot,superseded,V1-OF-056,amendment,15,90
V1-OF-058,Atlassify,Reporting Add-on,Full,ATL-RA-BASE,75,15.08,01-07-2023,01-07-2024,01-06-2024,FALSE,FALSE,snapshot,superseded,V1-OF-057,renewal,0,90
V1-OF-059,Atlassify,Reporting Add-on,Full,ATL-RA-BASE,80,15.14,01-07-2024,01-01-2025,03-10-2024,TRUE,FALSE,snapshot,superseded,V1-OF-058,renewal,0,90
V1-OF-060,Atlassify,Reporting Add-on,Full,ATL-RA-BASE,80,15.14,01-01-2025,01-07-2025,02-05-2025,TRUE,TRUE,snapshot,superseded,V1-OF-059,renewal,0,90
V1-OF-061,Atlassify,Reporting Add-on,Full,ATL-RA-BASE,85,15.14,01-07-2025,01-07-2026,02-04-2026,TRUE,TRUE,snapshot,superseded,V1-OF-060,renewal,0,90
V1-OF-062,Atlassify,Reporting Add-on,Full,ATL-RA-BASE,90,15.14,01-07-2026,01-07-2027,02-04-2027,FALSE,TRUE,snapshot,active,V1-OF-061,renewal,0,90
V1-OF-054,Atlassify,Reporting Add-on,Contributor,ATL-RA-BASE,130,5.85,01-01-2020,01-01-2021,02-12-2020,FALSE,FALSE,snapshot,superseded,,new,130,225
V1-OF-055,Atlassify,Reporting Add-on,Contributor,ATL-RA-BASE,135,6.26,01-01-2021,01-01-2022,03-10-2021,TRUE,FALSE,snapshot,superseded,V1-OF-054,renewal,0,225
V1-OF-056,Atlassify,Reporting Add-on,Contributor,ATL-RA-BASE,145,6.53,01-01-2022,01-01-2023,03-10-2022,TRUE,FALSE,snapshot,superseded,V1-OF-055,renewal,0,225
V1-OF-057,Atlassify,Reporting Add-on,Contributor,ATL-RA-BASE,150,6.53,01-01-2023,01-07-2023,02-04-2023,FALSE,FALSE,snapshot,superseded,V1-OF-056,renewal,0,225
V1-OF-058,Atlassify,Reporting Add-on,Contributor,ATL-RA-BASE,190,6.53,01-07-2023,01-07-2024,01-06-2024,TRUE,FALSE,snapshot,superseded,V1-OF-057,amendment,40,225
V1-OF-059,Atlassify,Reporting Add-on,Contributor,ATL-RA-BASE,195,6.53,01-07-2024,01-01-2025,03-10-2024,TRUE,FALSE,snapshot,superseded,V1-OF-058,renewal,0,225
V1-OF-060,Atlassify,Reporting Add-on,Contributor,ATL-RA-BASE,215,6.53,01-01-2025,01-07-2025,02-05-2025,TRUE,FALSE,snapshot,superseded,V1-OF-059,renewal,0,225
V1-OF-061,Atlassify,Reporting Add-on,Contributor,ATL-RA-BASE,220,6.53,01-07-2025,01-07-2026,02-04-2026,FALSE,TRUE,snapshot,superseded,V1-OF-060,renewal,0,225
V1-OF-062,Atlassify,Reporting Add-on,Contributor,ATL-RA-BASE,225,6.53,01-07-2026,01-07-2027,02-04-2027,FALSE,TRUE,snapshot,active,V1-OF-061,renewal,0,225
V1-OF-054,Atlassify,Reporting Add-on,Collaborator,ATL-RA-BASE,280,1.17,01-01-2020,01-01-2021,02-12-2020,TRUE,FALSE,snapshot,superseded,,new,280,220
V1-OF-055,Atlassify,Reporting Add-on,Collaborator,ATL-RA-BASE,290,1.27,01-01-2021,01-01-2022,03-10-2021,FALSE,FALSE,snapshot,superseded,V1-OF-054,renewal,0,220
V1-OF-056,Atlassify,Reporting Add-on,Collaborator,ATL-RA-BASE,290,1.29,01-01-2022,01-01-2023,03-10-2022,TRUE,FALSE,snapshot,superseded,V1-OF-055,renewal,0,220
V1-OF-057,Atlassify,Reporting Add-on,Collaborator,ATL-RA-BASE,300,1.29,01-01-2023,01-07-2023,02-04-2023,TRUE,TRUE,snapshot,superseded,V1-OF-056,renewal,0,220
V1-OF-058,Atlassify,Reporting Add-on,Collaborator,ATL-RA-BASE,300,1.29,01-07-2023,01-07-2024,01-06-2024,FALSE,TRUE,snapshot,superseded,V1-OF-057,renewal,0,220
V1-OF-059,Atlassify,Reporting Add-on,Collaborator,ATL-RA-BASE,250,1.29,01-07-2024,01-01-2025,03-10-2024,FALSE,TRUE,snapshot,superseded,V1-OF-058,renewal,0,220
V1-OF-060,Atlassify,Reporting Add-on,Collaborator,ATL-RA-BASE,200,1.38,01-01-2025,01-07-2025,02-05-2025,TRUE,FALSE,snapshot,superseded,V1-OF-059,renewal,0,220
V1-OF-061,Atlassify,Reporting Add-on,Collaborator,ATL-RA-BASE,210,1.46,01-07-2025,01-07-2026,02-04-2026,TRUE,FALSE,snapshot,superseded,V1-OF-060,renewal,0,220
V1-OF-062,Atlassify,Reporting Add-on,Collaborator,ATL-RA-BASE,220,1.46,01-07-2026,01-07-2027,02-04-2027,FALSE,FALSE,snapshot,active,V1-OF-061,renewal,0,220
V2-OF-001,Cloudora,Cloud Infra Core,Full,CLD-CI-BASE,40,55,01-01-2020,01-01-2021,02-11-2020,TRUE,FALSE,peak,superseded,,new,40,220
V2-OF-002,Cloudora,Cloud Infra Core,Full,CLD-CI-BASE,40,57.45,01-01-2021,01-01-2022,02-12-2021,TRUE,TRUE,peak,superseded,V2-OF-001,renewal,0,220
V2-OF-003,Cloudora,Cloud Infra Core,Full,CLD-CI-BASE,40,57.45,01-01-2022,01-01-2023,03-10-2022,TRUE,FALSE,peak,superseded,V2-OF-002,renewal,0,220
V2-OF-004,Cloudora,Cloud Infra Core,Full,CLD-CI-BASE,45,60.73,01-01-2023,01-01-2024,02-11-2023,FALSE,TRUE,peak,superseded,V2-OF-003,renewal,0,220
V2-OF-005,Cloudora,Cloud Infra Core,Full,CLD-CI-BASE,40,60.73,01-01-2024,01-01-2025,03-10-2024,TRUE,FALSE,peak,superseded,V2-OF-004,renewal,0,220
V2-OF-006,Cloudora,Cloud Infra Core,Full,CLD-CI-BASE,40,60.73,01-01-2025,01-01-2026,02-11-2025,TRUE,FALSE,peak,superseded,V2-OF-005,renewal,0,220
V2-OF-007,Cloudora,Cloud Infra Core,Full,CLD-CI-BASE,40,60.73,01-01-2026,01-01-2028,02-11-2027,TRUE,FALSE,peak,active,V2-OF-006,renewal,0,220
V2-OF-001,Cloudora,Cloud Infra Core,Contributor,CLD-CI-BASE,85,20.4,01-01-2020,01-01-2021,02-11-2020,TRUE,FALSE,peak,superseded,,new,85,495
V2-OF-002,Cloudora,Cloud Infra Core,Contributor,CLD-CI-BASE,85,22.75,01-01-2021,01-01-2022,02-12-2021,TRUE,FALSE,peak,superseded,V2-OF-001,renewal,0,495
V2-OF-003,Cloudora,Cloud Infra Core,Contributor,CLD-CI-BASE,105,22.75,01-01-2022,01-01-2023,03-10-2022,FALSE,FALSE,peak,superseded,V2-OF-002,amendment,20,495
V2-OF-004,Cloudora,Cloud Infra Core,Contributor,CLD-CI-BASE,110,22.75,01-01-2023,01-01-2024,02-11-2023,TRUE,TRUE,peak,superseded,V2-OF-003,renewal,0,495
V2-OF-005,Cloudora,Cloud Infra Core,Contributor,CLD-CI-BASE,120,22.75,01-01-2024,01-01-2025,03-10-2024,FALSE,TRUE,peak,superseded,V2-OF-004,renewal,0,495
V2-OF-006,Cloudora,Cloud Infra Core,Contributor,CLD-CI-BASE,145,22.75,01-01-2025,01-01-2026,02-11-2025,TRUE,FALSE,peak,superseded,V2-OF-005,upsell,25,495
V2-OF-007,Cloudora,Cloud Infra Core,Contributor,CLD-CI-BASE,155,22.75,01-01-2026,01-01-2028,02-11-2027,FALSE,FALSE,peak,active,V2-OF-006,renewal,0,495
V2-OF-001,Cloudora,Cloud Infra Core,Collaborator,CLD-CI-BASE,290,4.32,01-01-2020,01-01-2021,02-11-2020,TRUE,FALSE,peak,superseded,,new,290,1220
V2-OF-002,Cloudora,Cloud Infra Core,Collaborator,CLD-CI-BASE,320,4.6,01-01-2021,01-01-2022,02-12-2021,FALSE,FALSE,peak,superseded,V2-OF-001,renewal,0,1220
V2-OF-003,Cloudora,Cloud Infra Core,Collaborator,CLD-CI-BASE,410,4.6,01-01-2022,01-01-2023,03-10-2022,TRUE,FALSE,peak,superseded,V2-OF-002,amendment,90,1220
V2-OF-004,Cloudora,Cloud Infra Core,Collaborator,CLD-CI-BASE,430,4.6,01-01-2023,01-01-2024,02-11-2023,FALSE,TRUE,peak,superseded,V2-OF-003,renewal,0,1220
V2-OF-005,Cloudora,Cloud Infra Core,Collaborator,CLD-CI-BASE,470,4.7,01-01-2024,01-01-2025,03-10-2024,FALSE,TRUE,peak,superseded,V2-OF-004,renewal,0,1220
V2-OF-006,Cloudora,Cloud Infra Core,Collaborator,CLD-CI-BASE,490,4.7,01-01-2025,01-01-2026,02-11-2025,TRUE,FALSE,peak,superseded,V2-OF-005,renewal,0,1220
V2-OF-007,Cloudora,Cloud Infra Core,Collaborator,CLD-CI-BASE,610,4.7,01-01-2026,01-01-2028,02-11-2027,TRUE,FALSE,peak,active,V2-OF-006,amendment,120,1220
V2-OF-008,Cloudora,Cloud Infra Core,Full,CLD-CI-FULL-EXP1,55,55,01-07-2021,01-10-2021,01-09-2021,FALSE,FALSE,peak,superseded,,new,55,220
V2-OF-009,Cloudora,Cloud Infra Core,Full,CLD-CI-FULL-EXP1,55,60.09,01-10-2021,01-10-2022,02-08-2022,TRUE,FALSE,peak,superseded,V2-OF-008,renewal,0,220
V2-OF-010,Cloudora,Cloud Infra Core,Full,CLD-CI-FULL-EXP1,65,60.09,01-10-2022,01-04-2023,01-01-2023,TRUE,FALSE,peak,superseded,V2-OF-009,upsell,10,220
V2-OF-011,Cloudora,Cloud Infra Core,Full,CLD-CI-FULL-EXP1,70,60.57,01-04-2023,01-10-2023,01-09-2023,TRUE,TRUE,peak,superseded,V2-OF-010,renewal,0,220
V2-OF-012,Cloudora,Cloud Infra Core,Full,CLD-CI-FULL-EXP1,85,60.57,01-10-2023,01-01-2024,03-10-2023,FALSE,FALSE,peak,superseded,V2-OF-011,upsell,15,220
V2-OF-013,Cloudora,Cloud Infra Core,Full,CLD-CI-FULL-EXP1,90,60.57,01-01-2024,01-04-2024,01-02-2024,TRUE,TRUE,peak,superseded,V2-OF-012,renewal,0,220
V2-OF-014,Cloudora,Cloud Infra Core,Full,CLD-CI-FULL-EXP1,110,60.57,01-04-2024,01-07-2024,02-04-2024,TRUE,FALSE,peak,superseded,V2-OF-013,upsell,20,220
V2-OF-015,Cloudora,Cloud Infra Core,Full,CLD-CI-FULL-EXP1,115,60.57,01-07-2024,01-01-2025,02-11-2024,TRUE,FALSE,peak,superseded,V2-OF-014,renewal,0,220
V2-OF-016,Cloudora,Cloud Infra Core,Full,CLD-CI-FULL-EXP1,125,60.57,01-01-2025,01-04-2025,02-03-2025,TRUE,TRUE,peak,superseded,V2-OF-015,renewal,0,220
V2-OF-017,Cloudora,Cloud Infra Core,Full,CLD-CI-FULL-EXP1,130,60.57,01-04-2025,01-10-2025,01-09-2025,FALSE,TRUE,peak,superseded,V2-OF-016,renewal,0,220
V2-OF-018,Cloudora,Cloud Infra Core,Full,CLD-CI-FULL-EXP1,135,60.57,01-10-2025,01-04-2026,31-01-2026,TRUE,FALSE,peak,superseded,V2-OF-017,renewal,0,220
V2-OF-019,Cloudora,Cloud Infra Core,Full,CLD-CI-FULL-EXP1,140,60.57,01-04-2026,01-07-2026,02-04-2026,FALSE,FALSE,peak,superseded,V2-OF-018,renewal,0,220
