Contract_ID,License_Type,Vendor,Start_Date,End_Date,Owner,Criticality,Days_to_Renewal,Renewal_Flag,Total_Users,Active_Users,Avg_Utilization_Pct,Total_Annual_Budget_USD,Total_Actual_Spend_USD,Spend%,Budget_Status,Total_True_Up_USD,Stages,Approval_Status,Max_Days_in_Stage
C-1050,Collaborator,Microsoft,09-12-2023,04-07-2026,Finance,High,184,Normal,161,124,76.18,204,142,0.698325553,Healthy,-62,Planning,Pending,13
C-1051,Contributor,Microsoft,26-03-2023,10-05-2026,Finance,Critical,129,Planning,182,46,25.71,384,287,0.747362924,Healthy,-97,Planning,Pending,3
C-1052,Contributor,Microsoft,20-07-2023,19-11-2026,IT,High,322,Normal,182,143,78.87,1906,1317,0.690890541,Healthy,-589,Approval,Pending,13
C-1053,Contributor,Microsoft,10-12-2023,31-08-2026,Procurement,Medium,242,Normal,182,143,78.87,2304,1497,0.649974069,Healthy,-807,Planning,Approved,15
C-1054,Collaborator,Nexaflow,24-06-2023,31-01-2026,IT,Critical,30,Critical,245,181,72.9,3203,3270,1.020922081,Exceeded,67,Planning,Pending,13
C-1055,Contributor,Microsoft,04-11-2023,26-11-2026,Procurement,Critical,329,Normal,182,143,78.87,1678,1489,0.887142351,Near Limit,-189,Negotiation,Approved,18
C-1056,Collaborator,Prismly,28-01-2023,04-08-2026,IT,Medium,215,Normal,245,181,72.9,3401,2139,0.629001641,Healthy,-1262,Negotiation,Approved,17
C-1057,Collaborator,Microsoft,19-10-2023,29-08-2026,Procurement,High,240,Normal,161,124,76.18,611,543,0.888987555,Near Limit,-68,Approval,Pending,7
C-1058,Collaborator,Databridge,26-07-2023,21-11-2026,Procurement,Critical,324,Normal,245,181,72.9,2613,1794,0.686565543,Healthy,-819,Approval,Approved,9
C-1059,Collaborator,Prismly,31-05-2023,29-10-2026,Procurement,High,301,Normal,245,181,72.9,3564,2268,0.636363279,Healthy,-1296,Planning,Pending,13
C-1060,Collaborator,Prismly,27-04-2023,28-10-2026,IT,Medium,300,Normal,157,40,25.61,2894,210,0.072859906,Healthy,-2684,Planning,Pending,11
C-1061,Contributor,Microsoft,31-03-2023,11-04-2026,IT,Critical,100,Planning,182,38,21.22,6424,4320,0.672535626,Healthy,-2104,Negotiation,Approved,11
C-1062,Collaborator,Microsoft,28-04-2023,22-03-2026,Procurement,Medium,80,Warning,161,124,76.18,245,227,0.927751112,Near Limit,-18,Planning,Pending,13
C-1063,Collaborator,Veloxa,09-07-2023,11-03-2026,IT,High,69,Warning,245,181,72.9,3648,3245,0.889627591,Near Limit,-403,Planning,Pending,13
C-1064,Collaborator,Nexaflow,09-10-2023,30-06-2026,Procurement,Critical,180,Planning,245,45,18.52,2849,245,0.086235351,Healthy,-2604,Planning,Pending,13
C-1065,Collaborator,Nexaflow,31-01-2023,17-06-2026,Procurement,Medium,167,Planning,245,68,27.8,2647,1890,0.713964484,Healthy,-757,Negotiation,Pending,10
C-1066,Contributor,Microsoft,17-04-2023,26-08-2026,IT,High,237,Normal,182,143,78.87,3168,2660,0.839643036,Near Limit,-508,Approval,Approved,16
C-1067,Contributor,Microsoft,18-03-2023,07-08-2026,IT,Critical,218,Normal,182,143,78.87,3482,2895,0.831379348,Near Limit,-587,Planning,Pending,13
C-1068,Collaborator,Veloxa,10-12-2023,19-12-2026,Finance,Critical,352,Normal,157,114,75.23,3647,2674,0.733336185,Healthy,-973,Planning,Pending,7
C-1069,Collaborator,Microsoft,25-12-2023,31-10-2026,Procurement,Medium,303,Normal,161,124,76.18,3624,3598,0.99287247,Exceeded,-26,Execution,Pending,8
C-1070,Contributor,Microsoft,07-09-2023,08-09-2026,Procurement,Critical,250,Normal,182,143,78.87,4330,4484,1.035510704,Exceeded,154,Negotiation,Pending,4
C-1071,Collaborator,Nexaflow,06-09-2023,08-05-2026,IT,Critical,127,Planning,245,181,72.9,3647,2367,0.64913282,Healthy,-1280,Planning,Pending,13
C-1072,Collaborator,Microsoft,30-03-2023,19-03-2026,Finance,High,77,Warning,161,124,76.18,518,552,1.066013231,Exceeded,34,Planning,Pending,13
C-1073,Contributor,Microsoft,09-12-2023,23-10-2026,IT,Critical,295,Normal,182,143,78.87,1856,1766,0.951543656,Exceeded,-90,Planning,Pending,13
C-1074,Contributor,Microsoft,05-06-2023,20-12-2026,Procurement,Critical,353,Normal,182,143,78.87,7943,5224,0.65768539,Healthy,-2719,Execution,Pending,18
C-1075,Collaborator,Veloxa,03-11-2023,21-10-2026,Finance,High,293,Normal,245,181,72.9,656,680,1.036636286,Exceeded,24,Planning,Pending,13
C-1076,Contributor,Microsoft,30-12-2023,07-11-2026,Procurement,High,310,Normal,182,28,15.52,1878,1141,0.607820497,Healthy,-737,Approval,Approved,8
C-1077,Collaborator,Cloudora,18-01-2023,30-03-2026,IT,High,88,Warning,245,181,72.9,4126,3575,0.866319896,Near Limit,-551,Planning,Pending,13
C-1078,Collaborator,Microsoft,22-02-2023,02-05-2026,IT,High,121,Planning,161,124,76.18,2356,120,0.051334357,Healthy,-2236,Planning,Pending,13
C-1079,Collaborator,Veloxa,05-01-2023,04-11-2026,Procurement,Medium,307,Normal,245,181,72.9,3647,234,0.064174187,Healthy,-3413,Negotiation,Approved,18
C-1080,Contributor,Microsoft,31-03-2023,05-12-2026,IT,High,338,Normal,182,143,78.87,3784,339,0.089584472,Healthy,-3445,Planning,Pending,13
C-1081,Collaborator,Microsoft,10-08-2023,23-04-2026,Finance,Critical,112,Planning,161,28,17.56,2346,2067,0.881247137,Near Limit,-279,Planning,Pending,13
C-1082,Contributor,Microsoft,28-11-2023,10-05-2026,IT,High,129,Planning,182,143,78.87,3489,1278,0.366461682,Healthy,-2211,Planning,Pending,11
C-1083,Contributor,Microsoft,12-04-2023,27-11-2026,Finance,Medium,330,Normal,182,143,78.87,3794,2754,0.726029278,Healthy,-1040,Planning,Pending,13
C-1084,Contributor,Microsoft,12-09-2023,22-07-2026,IT,Critical,202,Normal,182,143,78.87,2347,289,0.1231062,Healthy,-2058,Approval,Pending,13
C-1085,Collaborator,Microsoft,12-08-2023,18-02-2026,Procurement,Critical,48,Warning,161,124,76.18,2035,1698,0.834620592,Near Limit,-337,Planning,Pending,13
C-1086,Contributor,Microsoft,28-02-2023,27-12-2026,IT,High,360,Normal,182,143,78.87,3074,2618,0.851907392,Near Limit,-456,Planning,Pending,13
C-1087,Contributor,Microsoft,04-01-2023,03-01-2026,Finance,High,2,Critical,182,143,78.87,3639,1278,0.351250879,Healthy,-2361,Planning,Pending,13
C-1088,Collaborator,Prismly,06-09-2023,15-10-2026,Finance,High,287,Normal,245,181,72.9,1289,345,0.268166176,Healthy,-944,Planning,Pending,13
C-1089,Contributor,Microsoft,20-08-2023,09-06-2026,Procurement,Critical,159,Planning,182,47,25.88,3773,2862,0.758705779,Healthy,-911,Approval,Pending,13
C-1090,Collaborator,Microsoft,04-03-2023,16-01-2026,Procurement,Medium,15,Critical,161,42,26.12,3456,256,0.074350008,Healthy,-3200,Approval,Pending,10
C-1091,Contributor,Microsoft,01-01-2023,23-06-2026,Procurement,Critical,173,Planning,182,143,78.87,2374,1907,0.803133191,Near Limit,-467,Negotiation,"Approved, Pending",12
C-1092,Collaborator,Prismly,31-12-2023,07-09-2026,IT,Critical,249,Normal,157,42,27.07,2500,2423,0.969240301,Exceeded,-77,Approval,Approved,10
C-1093,Collaborator,Microsoft,01-05-2023,26-03-2026,Finance,High,84,Warning,161,124,76.18,2364,1890,0.799382187,Healthy,-474,Planning,Pending,12
C-1094,Collaborator,Microsoft,21-03-2023,31-05-2026,Finance,High,150,Planning,161,124,76.18,3315,2809,0.847364608,Near Limit,-506,Planning,Pending,4
C-1095,Collaborator,Microsoft,03-09-2023,01-02-2026,IT,Medium,31,Warning,161,124,76.18,3994,3173,0.794309963,Healthy,-821,Planning,Pending,12
C-1096,Collaborator,Microsoft,11-04-2023,26-10-2026,Procurement,High,298,Normal,161,124,76.18,3218,3268,1.015609955,Exceeded,50,Approval,Approved,15
C-1097,Collaborator,Microsoft,14-02-2023,26-11-2026,Procurement,Medium,329,Normal,161,124,76.18,2364,2189,0.925637713,Near Limit,-175,Planning,Pending,12
C-1098,Contributor,Microsoft,22-05-2023,14-12-2026,Finance,Critical,347,Normal,182,143,78.87,3517,2705,0.769091896,Healthy,-812,Planning,Pending,12
C-1099,Contributor,Microsoft,07-04-2023,24-12-2026,Procurement,Medium,357,Normal,182,143,78.87,969,830,0.85677399,Near Limit,-139,Execution,Approved,12
C-1100,Collaborator,Atlassify,27-04-2023,11-11-2026,Procurement,Critical,314,Normal,157,114,75.23,3467,308,0.088901777,Healthy,-3159,Planning,Pending,12
C-1101,Contributor,Microsoft,25-02-2023,25-11-2026,Finance,Medium,328,Normal,182,143,78.87,1278,106,0.083485009,Healthy,-1172,Approval,Pending,12
C-1102,Collaborator,Databridge,02-07-2023,27-06-2026,Procurement,Critical,177,Planning,157,114,75.23,1541,1178,0.764411189,Healthy,-363,Planning,Pending,13
C-1103,Collaborator,Databridge,28-11-2023,27-08-2026,Procurement,High,238,Normal,157,114,75.23,2508,1640,0.653683845,Healthy,-868,Planning,Pending,13
C-1104,Collaborator,Microsoft,24-08-2023,15-10-2026,Finance,Critical,287,Normal,161,124,76.18,278,127,0.459201707,Healthy,-151,Planning,Pending,13
C-1105,Contributor,Microsoft,13-07-2023,07-10-2026,Finance,High,279,Normal,182,143,78.87,2904,189,0.06519294,Healthy,-2715,Planning,Approved,19
C-1106,Contributor,Microsoft,19-12-2023,07-04-2026,Procurement,Medium,96,Planning,182,143,78.87,2410,2413,1.001027886,Exceeded,3,Execution,Approved,5
C-1107,Contributor,Microsoft,20-08-2023,08-01-2026,Procurement,Medium,7,Critical,182,30,16.83,3722,2568,0.690027643,Healthy,-1154,Negotiation,Approved,9
C-1108,Collaborator,Cloudora,01-11-2023,14-09-2026,Procurement,Medium,256,Normal,157,114,75.23,2647,183,0.069154088,Healthy,-2464,Planning,Pending,13
C-1109,Contributor,Microsoft,25-02-2023,12-11-2026,Procurement,Medium,315,Normal,182,143,78.87,1678,189,0.112595017,Healthy,-1489,Negotiation,Pending,1
C-1110,Collaborator,Databridge,08-08-2023,08-06-2026,Procurement,Critical,158,Planning,245,181,72.9,1093,346,0.317150639,Healthy,-747,Planning,Pending,13
C-1111,Collaborator,Cloudora,15-04-2023,08-09-2026,IT,High,250,Normal,245,181,72.9,9722,8782,0.903344648,Near Limit,-940,Negotiation,Approved,12
C-1112,Collaborator,Microsoft,14-10-2023,12-07-2026,IT,Critical,192,Normal,161,124,76.18,1903,189,0.099478475,Healthy,-1714,Execution,Pending,6
C-1113,Contributor,Microsoft,10-10-2023,12-11-2026,IT,Critical,315,Normal,182,143,78.87,2647,219,0.082720803,Healthy,-2428,Planning,Pending,13
C-1114,Collaborator,Microsoft,30-10-2023,21-08-2026,Procurement,High,232,Normal,161,43,26.67,2776,2749,0.990415743,Exceeded,-27,Planning,Pending,12
C-1115,Collaborator,Microsoft,25-02-2023,16-09-2026,IT,Medium,258,Normal,161,124,76.18,5433,4583,0.843491314,Near Limit,-850,Planning,Pending,14
C-1116,Collaborator,Prismly,11-02-2023,18-07-2026,Procurement,High,198,Normal,245,181,72.9,5312,3564,0.67091449,Healthy,-1748,Planning,Pending,13
C-1117,Contributor,Microsoft,07-11-2023,12-06-2026,Finance,High,162,Planning,182,143,78.87,1673,109,0.065522668,Healthy,-1564,Planning,Approved,5
C-1118,Collaborator,Atlassify,10-10-2023,27-06-2026,IT,Medium,177,Planning,157,26,17.13,2766,3033,1.096168344,Exceeded,267,Planning,Pending,13
C-1119,Collaborator,Databridge,02-04-2023,19-03-2026,Finance,Medium,77,Warning,157,114,75.23,6523,6106,0.936155653,Near Limit,-417,Planning,Pending,12
C-1120,Collaborator,Prismly,06-08-2023,04-09-2026,IT,Medium,246,Normal,245,181,72.9,1345,256,0.19085549,Healthy,-1089,Planning,Approved,11
C-1121,Collaborator,Atlassify,30-05-2023,29-01-2026,IT,Medium,28,Critical,245,71,29.1,2822,2507,0.888512905,Near Limit,-315,Planning,Pending,19
C-1122,Collaborator,Microsoft,25-08-2023,10-07-2026,Procurement,Medium,190,Normal,161,124,76.18,4281,4326,1.010612233,Exceeded,45,Execution,Pending,18
C-1123,Collaborator,Prismly,22-07-2023,31-10-2026,Finance,Critical,303,Normal,245,181,72.9,4892,3267,0.6678851,Healthy,-1625,Execution,Pending,11
C-1124,Contributor,Microsoft,20-12-2023,29-05-2026,Procurement,Medium,148,Planning,182,143,78.87,2824,2749,0.973605056,Exceeded,-75,Approval,Approved,14
C-1125,Contributor,Microsoft,07-02-2023,26-05-2026,IT,High,145,Planning,182,143,78.87,1193,725,0.60784046,Healthy,-468,Approval,Pending,11
C-1126,Contributor,Microsoft,28-10-2023,23-10-2026,Finance,Critical,295,Normal,182,143,78.87,1581,1616,1.022040645,Exceeded,35,Approval,Approved,14
C-1127,Collaborator,Veloxa,27-06-2023,05-12-2026,Finance,High,338,Normal,245,181,72.9,2094,145,0.069546727,Healthy,-1949,Negotiation,Approved,15
C-1128,Collaborator,Databridge,30-07-2023,29-03-2026,IT,Critical,87,Warning,245,181,72.9,3093,245,0.079423242,Healthy,-2848,Negotiation,Approved,17
C-1129,Contributor,Microsoft,29-10-2023,15-01-2026,Finance,Medium,14,Critical,182,143,78.87,2933,2471,0.842615415,Near Limit,-462,Negotiation,Pending,11
C-1130,Collaborator,Veloxa,04-12-2023,17-01-2026,Procurement,Critical,16,Critical,245,46,18.8,4357,4629,1.06241736,Exceeded,272,Approval,Pending,19
C-1131,Collaborator,Nexaflow,08-11-2023,26-05-2026,IT,Medium,145,Planning,157,114,75.23,469,464,0.989860553,Exceeded,-5,Execution,Approved,17
C-1132,Collaborator,Nexaflow,01-10-2023,16-05-2026,Procurement,High,135,Planning,157,114,75.23,6566,5755,0.876373611,Near Limit,-811,Execution,Pending,11
C-1133,Collaborator,Nexaflow,15-08-2023,14-11-2026,Finance,Medium,317,Normal,157,114,75.23,5054,4493,0.889041501,Near Limit,-561,Execution,Pending,2
C-1134,Contributor,Microsoft,19-03-2023,24-11-2026,Finance,High,327,Normal,182,143,78.87,4567,235,0.051594466,Healthy,-4332,Approval,Approved,6
C-1135,Contributor,Microsoft,04-03-2023,31-08-2026,Finance,Critical,242,Normal,182,143,78.87,5064,4632,0.914825612,Near Limit,-432,Planning,Pending,7
C-1136,Contributor,Microsoft,17-02-2023,05-02-2026,Procurement,Medium,35,Warning,182,143,78.87,1832,1651,0.901069176,Near Limit,-181,Planning,Pending,8
C-1137,Collaborator,Microsoft,11-03-2023,16-12-2026,Procurement,Critical,349,Normal,161,124,76.18,6124,4787,0.781715394,Healthy,-1337,Approval,Approved,9
C-1138,Collaborator,Cloudora,10-02-2023,08-06-2026,IT,High,158,Planning,157,114,75.23,4648,3257,0.700843667,Healthy,-1391,Approval,Approved,10
C-1139,Contributor,Microsoft,04-11-2023,15-03-2026,Finance,Critical,73,Warning,182,143,78.87,3310,2484,0.750697277,Healthy,-826,Approval,Approved,7
C-1140,Contributor,Microsoft,07-03-2023,05-07-2026,Finance,Critical,185,Normal,182,143,78.87,2417,2133,0.882611514,Near Limit,-284,Planning,Approved,15
C-1141,Collaborator,Microsoft,02-02-2023,15-02-2026,Finance,Critical,45,Warning,161,124,76.18,2347,1093,0.465763489,Healthy,-1254,Approval,Approved,9
C-1142,Collaborator,Atlassify,30-06-2023,18-05-2026,Procurement,Medium,137,Planning,245,181,72.9,6574,6429,0.977967911,Exceeded,-145,Approval,Approved,12
C-1143,Collaborator,Nexaflow,19-07-2023,10-05-2026,Finance,High,129,Planning,245,56,23.04,4738,3148,0.664420659,Healthy,-1590,Approval,Approved,6
C-1144,Contributor,Microsoft,30-01-2023,17-01-2026,Finance,High,16,Critical,182,143,78.87,289,109,0.376636208,Healthy,-180,Negotiation,Pending,4
C-1145,Collaborator,Microsoft,18-03-2023,24-05-2026,IT,Critical,143,Planning,161,124,76.18,188,119,0.630052082,Healthy,-69,Execution,Approved,7
C-1146,Collaborator,Veloxa,23-12-2023,17-04-2026,IT,Medium,106,Planning,245,181,72.9,3511,2940,0.837208057,Near Limit,-571,Execution,Approved,4
C-1147,Collaborator,Databridge,01-01-2023,07-08-2026,Procurement,High,218,Normal,157,114,75.23,1249,833,0.667113883,Healthy,-416,Negotiation,Pending,18
C-1148,Collaborator,Cloudora,18-08-2023,02-05-2026,IT,High,121,Planning,157,36,22.93,2699,2809,1.040919613,Exceeded,110,Approval,Pending,6
C-1149,Collaborator,Microsoft,03-01-2023,05-02-2026,Procurement,High,35,Warning,161,124,76.18,1455,1577,1.083904625,Exceeded,122,Negotiation,Pending,4
C-1150,Collaborator,Databridge,31-10-2023,20-01-2026,IT,Medium,19,Critical,157,114,75.23,3057,2762,0.903650794,Near Limit,-295,Planning,Pending,13
C-1151,Collaborator,Microsoft,08-12-2023,11-03-2026,IT,Critical,69,Warning,161,24,15.07,1783,108,0.060751027,Healthy,-1675,Planning,Pending,12
C-1152,Collaborator,Nexaflow,06-10-2023,30-11-2026,IT,Critical,333,Normal,245,181,72.9,4567,4186,0.916695879,Near Limit,-381,Planning,Pending,11
C-1153,Contributor,Microsoft,26-11-2023,08-03-2026,IT,High,66,Warning,182,143,78.87,847,928,1.095865453,Exceeded,81,Execution,Approved,17
C-1154,Contributor,Microsoft,09-12-2023,21-08-2026,Finance,High,232,Normal,182,143,78.87,1637,109,0.066596493,Healthy,-1528,Execution,Pending,19
C-1155,Collaborator,Microsoft,30-04-2023,22-10-2026,Finance,Critical,294,Normal,161,124,76.18,1679,126,0.075517404,Healthy,-1553,Planning,Pending,12
C-1156,Collaborator,Nexaflow,10-12-2023,01-02-2026,Finance,High,31,Warning,157,114,75.23,2890,229,0.079243671,Healthy,-2661,Planning,Pending,11
C-1157,Contributor,Microsoft,22-02-2023,12-01-2026,Finance,Critical,11,Critical,182,143,78.87,3547,273,0.077198823,Healthy,-3274,Approval,Approved,5
C-1158,Collaborator,Microsoft,24-09-2023,03-08-2026,IT,High,214,Normal,161,124,76.18,2287,2437,1.065712244,Exceeded,150,Approval,Approved,6
C-1159,Collaborator,Cloudora,17-05-2023,16-11-2026,Finance,Critical,319,Normal,245,181,72.9,2674,182,0.068076342,Healthy,-2492,Execution,Pending,14
C-1160,Collaborator,Databridge,28-11-2023,22-01-2026,Finance,Medium,21,Critical,245,181,72.9,4631,4085,0.88198918,Near Limit,-546,Execution,Pending,12
C-1161,Collaborator,Microsoft,30-04-2023,13-09-2026,IT,Medium,255,Normal,161,124,76.18,3546,2378,0.670727255,Healthy,-1168,Planning,Pending,19
C-1162,Collaborator,Microsoft,23-10-2023,13-02-2026,Procurement,Medium,43,Warning,161,124,76.18,3785,3089,0.816005021,Near Limit,-696,Planning,Pending,11
C-1163,Collaborator,Microsoft,09-11-2023,02-01-2026,IT,High,1,Critical,161,124,76.18,4895,4094,0.83637932,Near Limit,-801,Planning,Pending,12
C-1164,Collaborator,Cloudora,20-11-2023,23-05-2026,IT,Critical,142,Planning,157,114,75.23,1264,109,0.086242525,Healthy,-1155,Planning,Pending,4
